species_sci_name,species_common_name,species_itis,species_code,species_genus,species,bird_or_mammal,n
Puffinus opisthomelas,Black-vented Shearwater,554396,BVSH,NA,BVSH: Black-vented Shearwater (Puffinus opisthomelas; ITIS: 554396),bird,124
Anas discors,Blue-winged Teal,175086,BWTE,NA,BWTE: Blue-winged Teal (Anas discors; ITIS: 175086),bird,1
Ptychoramphus aleuticus,Cassin's Auklet,177013,CAAU,NA,CAAU: Cassin's Auklet (Ptychoramphus aleuticus; ITIS: 177013),bird,2585
Branta hutchinsii,Cackling Goose,714068,CACG,NA,CACG: Cackling Goose (Branta hutchinsii; ITIS: 714068),bird,18
Branta canadensis,Canada Goose,174999,CAGO,NA,CAGO: Canada Goose (Branta canadensis; ITIS: 174999),bird,8
Larus californicus,California Gull,176829,CAGU,NA,CAGU: California Gull (Larus californicus; ITIS: 176829),bird,2061
Branta canadensis,Canada Goose,174999,CANG,NA,CANG: Canada Goose (Branta canadensis; ITIS: 174999),bird,15
Aythya valisineria,Canvasback,175129,CANV,NA,CANV: Canvasback (Aythya valisineria; ITIS: 175129),bird,2
Callipepla californica,California Quail,175876,CAQU,NA,CAQU: California Quail (Callipepla californica; ITIS: 175876),bird,1
Aphelocoma californica,California Scrub-Jay,554128,CASJ,NA,CASJ: California Scrub-Jay (Aphelocoma californica; ITIS: 554128),bird,1
Hydroprogne caspia,Caspian Tern,176935,CATE,NA,CATE: Caspian Tern (Hydroprogne caspia; ITIS: 176935),bird,27
Sterna caspia,Caspian Tern,176924,CATE,NA,CATE: Caspian Tern (Sterna caspia; ITIS: 176924),bird,21
Larus smithsonianus,California/Herring Gull,824077,CHGU,NA,CHGU: California/Herring Gull (Larus smithsonianus; ITIS: 824077),bird,2
Aechmophorus clarkii,Clark's Grebe,554027,CLGR,NA,CLGR: Clark's Grebe (Aechmophorus clarkii; ITIS: 554027),bird,872
Nucifraga columbiana,Clark's Nutcracker,179750,CLNU,NA,CLNU: Clark's Nutcracker (Nucifraga columbiana; ITIS: 179750),bird,1
Bucephala clangula,Common Goldeneye,175141,COGO,NA,COGO: Common Goldeneye (Bucephala clangula; ITIS: 175141),bird,6
Accipiter cooperii,Cooper's Hawk,175309,COHA,NA,COHA: Cooper's Hawk (Accipiter cooperii; ITIS: 175309),bird,3
Gavia immer,Common Loon,174469,COLO,NA,COLO: Common Loon (Gavia immer; ITIS: 174469),bird,195
Gavia immer,Comon Loon,174469,COLO,NA,COLO: Comon Loon (Gavia immer; ITIS: 174469),bird,443
Mergus merganser,Common Merganser,175185,COME,NA,COME: Common Merganser (Mergus merganser; ITIS: 175185),bird,1
Uria aalgae,Common Murre,176974,COMU,NA,COMU: Common Murre (Uria aalgae; ITIS: 176974),bird,21709
Uria aalge,Common Murre,176974,COMU,NA,COMU: Common Murre (Uria aalge; ITIS: 176974),bird,15698
Corvus corax,Common Raven,179725,CORA,NA,CORA: Common Raven (Corvus corax; ITIS: 179725),bird,92
Phalacrocorax (sp),Cormorant (unidentified),174713,CORM,NA,CORM: Cormorant (unidentified) (Phalacrocorax (sp); ITIS: 174713),bird,285
NA,Unidentified Cormorant,174714,CORM,NA,CORM: Unidentified Cormorant (NA; ITIS: 174714),bird,1233
Sterna hirundo,Common Tern,176888,COTE,NA,COTE: Common Tern (Sterna hirundo; ITIS: 176888),bird,7
Synthliboramphus craveri,Craveri's Murrelet,177010,CRMU,NA,CRMU: Craveri's Murrelet (Synthliboramphus craveri; ITIS: 177010),bird,8
NA,Clark's/Western Grebe,174477,CWGR,NA,CWGR: Clark's/Western Grebe (NA; ITIS: 174477),bird,3513
NA,California/Western Gull,176802,CWGU,NA,CWGU: California/Western Gull (NA; ITIS: 176802),bird,3
Phalacrocorax auritus,Double-crested Cormorant,17417,DCCO,NA,DCCO: Double-crested Cormorant (Phalacrocorax auritus; ITIS: 17417),bird,288
Phalacrocorax auritus,Double-crested Cormorant,174717,DCCO,NA,DCCO: Double-crested Cormorant (Phalacrocorax auritus; ITIS: 174717),bird,180
Anas (sp),Duck (domestic),174371,DODU,NA,DODU: Duck (domestic) (Anas (sp); ITIS: 174371),bird,1
NA,Unidentified dove/pigeon,174371,DOVE,NA,DOVE: Unidentified dove/pigeon (NA; ITIS: 174371),bird,110
Aves (sp),Duck (unidentified),174983,DUCK,NA,DUCK: Duck (unidentified) (Aves (sp); ITIS: 174983),bird,23
NA,Unidentified duck/goose,174371,DUCK,NA,DUCK: Unidentified duck/goose (NA; ITIS: 174371),bird,67
Calidris alpina,Dunlin,176661,DUNL,NA,DUNL: Dunlin (Calidris alpina; ITIS: 176661),bird,5
Podiceps nigricollis,Eared Grebe,174485,EAGR,NA,EAGR: Eared Grebe (Podiceps nigricollis; ITIS: 174485),bird,377
Streptopelia decaocto,Eurasian Collared-Dove,177139,ECDO,NA,ECDO: Eurasian Collared-Dove (Streptopelia decaocto; ITIS: 177139),bird,4
Podiceps auritus/nigricol.,Eared/Horned Grebe,174478,EHGR,NA,EHGR: Eared/Horned Grebe (Podiceps auritus/nigricol.; ITIS: 174478),bird,66
Sterna elegans,Elegant Tern,176925,ELTE,NA,ELTE: Elegant Tern (Sterna elegans; ITIS: 176925),bird,39
Thalasseus elegans,Elegant Tern,176931,ELTE,NA,ELTE: Elegant Tern (Thalasseus elegans; ITIS: 176931),bird,37
Puffinus carneipes,Flesh-footed Shearwater,174548,FFSH,NA,FFSH: Flesh-footed Shearwater (Puffinus carneipes; ITIS: 174548),bird,3
Sterna forsteri,Forster's Tern,176887,FOTE,NA,FOTE: Forster's Tern (Sterna forsteri; ITIS: 176887),bird,13
Oceanodroma furcata,Fork-tailed Storm-petrel,174625,FTSP,NA,FTSP: Fork-tailed Storm-petrel (Oceanodroma furcata; ITIS: 174625),bird,42
