species_sci_name,species_common_name,species_itis,species_code,species_genus,species,bird_or_mammal,n
Larus thayeri,Thayer's Gull,176828,THGU,NA,THGU: Thayer's Gull (Larus thayeri; ITIS: 176828),bird,58
Fratercula cirrhata,Tufted Puffin,177032,TUPU,NA,TUPU: Tufted Puffin (Fratercula cirrhata; ITIS: 177032),bird,47
Cygnus columbianus,Tundra Swan,174987,TUSW,NA,TUSW: Tundra Swan (Cygnus columbianus; ITIS: 174987),bird,2
Cathartes aura,Turkey Vulture,175265,TUVU,NA,TUVU: Turkey Vulture (Cathartes aura; ITIS: 175265),bird,20
NA,Unidentified Bird,174371,UNID,NA,UNID: Unidentified Bird (NA; ITIS: 174371),bird,959
Stercorarius,Unidentified Jaeger,176791,UNJA,NA,UNJA: Unidentified Jaeger (Stercorarius; ITIS: 176791),bird,2
Rallus limicola,Virginia Rail,176221,VIRA,NA,VIRA: Virginia Rail (Rallus limicola; ITIS: 176221),bird,2
Tringa incana,Wandering Tattler,176630,WATA,NA,WATA: Wandering Tattler (Tringa incana; ITIS: 176630),bird,1
Aechmophorus occident./clarkii,Western/Clark's Grebe,174502,WCGR,NA,WCGR: Western/Clark's Grebe (Aechmophorus occident./clarkii; ITIS: 174502),bird,1842
Aechmophorus occidentalis,Western Grebe,174503,WEGR,NA,WEGR: Western Grebe (Aechmophorus occidentalis; ITIS: 174503),bird,4926
Larus occidentalis,Western Gull,176817,WEGU,NA,WEGU: Western Gull (Larus occidentalis; ITIS: 176817),bird,7944
Calidris mauri,Western Sandpiper,176668,WESA,NA,WESA: Western Sandpiper (Calidris mauri; ITIS: 176668),bird,6
Larus occid. x gluaces.,Western X Glaucous-winged Gull Hybrid,174371,WGWH,NA,WGWH: Western X Glaucous-winged Gull Hybrid (Larus occid. x gluaces.; ITIS: 174371),bird,171
Numenius phaeopus,Whimbrel,176599,WHIM,NA,WHIM: Whimbrel (Numenius phaeopus; ITIS: 176599),bird,19
Tringa semipalmata,Willet,824147,WILL,NA,WILL: Willet (Tringa semipalmata; ITIS: 824147),bird,83
Pelecanus erythrorhynchos,White Pelican,174684,WIPE,NA,WIPE: White Pelican (Pelecanus erythrorhynchos; ITIS: 174684),bird,3
Meleagris gallopavo,Wild Turkey,176136,WITU,NA,WITU: Wild Turkey (Meleagris gallopavo; ITIS: 176136),bird,3
Melanitta fusca,White-winged Scoter,175163,WWSC,NA,WWSC: White-winged Scoter (Melanitta fusca; ITIS: 175163),bird,91
Synthliboramphus hypoleucus,Xantus's Murrelet,177011,XAMU,NA,XAMU: Xantus's Murrelet (Synthliboramphus hypoleucus; ITIS: 177011),bird,4
Gavia adamsii,Yellow-billed Loon,174470,YBLO,NA,YBLO: Yellow-billed Loon (Gavia adamsii; ITIS: 174470),bird,3
Arctocephalus townsendi,Guadalupe Fur Seal,180636,ARTO,NA,ARTO: Guadalupe Fur Seal (Arctocephalus townsendi; ITIS: 180636),mammal,2
Callorhinus ursinus,Northern Fur Seal,180627,CAUR,NA,CAUR: Northern Fur Seal (Callorhinus ursinus; ITIS: 180627),mammal,25
Delphinus capensis capensis,Long-beacked Common Dolphin,771148,DECA,NA,DECA: Long-beacked Common Dolphin (Delphinus capensis capensis; ITIS: 771148),mammal,5
Grampus griseus,Risso's Dolphin,180457,DEDE,NA,DEDE: Risso's Dolphin (Grampus griseus; ITIS: 180457),mammal,1
Delphinidae,Unidentified Dolphin,180415,DOLH,NA,DOLH: Unidentified Dolphin (Delphinidae; ITIS: 180415),mammal,23
Enhydra lutris nereis,Sea Otter,202390,ENLU,NA,ENLU: Sea Otter (Enhydra lutris nereis; ITIS: 202390),mammal,304
Eschrichtius robustus,Gray Whale,180521,ESRO,NA,ESRO: Gray Whale (Eschrichtius robustus; ITIS: 180521),mammal,24
Eumetopias jubatus,Steller's Sea Lion,180625,EUJU,NA,EUJU: Steller's Sea Lion (Eumetopias jubatus; ITIS: 180625),mammal,13
Lissodelphis borealis,Northern Right Whale Dolphin,180454,LAOB,NA,LAOB: Northern Right Whale Dolphin (Lissodelphis borealis; ITIS: 180454),mammal,6
Delphinus delphis,Short-beacked Common Dolphin,180438,LIBO,NA,LIBO: Short-beacked Common Dolphin (Delphinus delphis; ITIS: 180438),mammal,2
Mirounga angustirostris,Northern Elephant Seal,180672,MIAN,NA,MIAN: Northern Elephant Seal (Mirounga angustirostris; ITIS: 180672),mammal,371
Odontoceti,Unidentified Toothed Whale,180404,ODON,NA,ODON: Unidentified Toothed Whale (Odontoceti; ITIS: 180404),mammal,30
Otariidae,Unidentified Otariid,180615,OTAR,NA,OTAR: Unidentified Otariid (Otariidae; ITIS: 180615),mammal,393
Phocoenoides dalli dalli,Dall's Porpoise,612623,PHDA,NA,PHDA: Dall's Porpoise (Phocoenoides dalli dalli; ITIS: 612623),mammal,2
Phocidae,Unidentified Phocid,180640,PHOC,NA,PHOC: Unidentified Phocid (Phocidae; ITIS: 180640),mammal,134
Phocoena phocoena,Harbor Porpoise,180473,PHPH,NA,PHPH: Harbor Porpoise (Phocoena phocoena; ITIS: 180473),mammal,201
Phoca vitulina,Harbor Seal,180649,PHVI,NA,PHVI: Harbor Seal (Phoca vitulina; ITIS: 180649),mammal,763
Caniformia,Unidentified Pinniped,552303,PINN,NA,PINN: Unidentified Pinniped (Caniformia; ITIS: 552303),mammal,650
Phocoenidae,Unidentified Porpoise,552307,PORP,NA,PORP: Unidentified Porpoise (Phocoenidae; ITIS: 552307),mammal,49
Tursiops truncatus truncatus,Bottlenose Dolphin,612621,TUTR,NA,TUTR: Bottlenose Dolphin (Tursiops truncatus truncatus; ITIS: 612621),mammal,1
Delphinus,Unidentified Common Dolphin,180437,UNDE,NA,UNDE: Unidentified Common Dolphin (Delphinus; ITIS: 180437),mammal,6
NA,Unidentified Marine Mammal,NA,UNMM,NA,UNMM: Unidentified Marine Mammal (NA; ITIS: NA),mammal,9
Cetacea,Unidentified Whale,180403,WHAL,NA,WHAL: Unidentified Whale (Cetacea; ITIS: 180403),mammal,41
Zalophus californianus,California Sea Lion,180621,ZACA,NA,ZACA: California Sea Lion (Zalophus californianus; ITIS: 180621),mammal,3998
Ziphius cavirostris,Cuviers Beaked Whale,180498,ZICA,NA,ZICA: Cuviers Beaked Whale (Ziphius cavirostris; ITIS: 180498),mammal,11
NA,NA,NA,NA,NA,NA: NA (NA; ITIS: NA),NA,2917
